Month,CPI pa%
30-09-16,7.9
31-12-16,
31-03-17,
30-06-17,
30-09-17,9.8
31-12-17,
31-03-18,
30-06-18,
30-09-18,12.3
31-12-18,
31-03-19,
30-06-19,
30-09-19,9.2
31-12-19,
31-03-20,11.9
30-06-20,
30-09-20,15.4
31-12-20,
31-03-21,8.7
30-06-21,
30-09-21,-1.8
31-12-21,
31-03-22,-11.1
30-06-22,
30-09-22,-10.8
31-12-22,
31-03-23,-4.8
30-06-23,
30-09-23,-0.4
31-12-23,
31-03-24,3.2
30-06-24,
30-09-24,1.1
31-12-24,
31-03-25,-1.5
30-06-25,
30-09-25,1.8
31-12-25,
31-03-26,1.8
30-06-26,
30-09-26,0.1
31-12-26,-0.6
31-03-27,-0.1
30-06-27,-0.9
30-09-27,-1.4
31-12-27,-0.9
31-03-28,-0.7
30-06-28,0.2
30-09-28,0.2
31-12-28,0.6
31-03-29,0.1
30-06-29,-0.7
30-09-29,0
31-12-29,-0.5
31-03-30,-0.6
30-06-30,-1
30-09-30,-2.3
31-12-30,-4
31-03-31,-6.4
30-06-31,-7.8
30-09-31,-9.1
31-12-31,-7.8
31-03-32,-6.1
30-06-32,-8.1
30-09-32,-7.9
31-12-32,-9.2
31-03-33,-8.9
30-06-33,-5.1
30-09-33,-3
31-12-33,-0.7
31-03-34,0.9
30-06-34,2
30-09-34,1.4
31-12-34,1.3
31-03-35,2.7
30-06-35,2.8
30-09-35,3.8
31-12-35,5.6
31-03-36,1.7
30-06-36,2.5
30-09-36,3.8
31-12-36,3.3
31-03-37,6.9
30-06-37,7.4
30-09-37,6.6
31-12-37,7.2
31-03-38,5
30-06-38,3.5
30-09-38,2.7
31-12-38,0.6
31-03-39,2.8
30-06-39,3.4
30-09-39,4.5
31-12-39,7.7
31-03-40,4.5
30-06-40,4.7
30-09-40,4.7
31-12-40,2.7
31-03-41,4.2
30-06-41,3.9
30-09-41,3
31-12-41,3.8
31-03-42,2.3
30-06-42,2.6
30-09-42,4.2
31-12-42,3.9
31-03-43,4
30-06-43,2.6
