Month,NZ,Australia,USA,Japan,UK
01-03-90,0.2,4.4,3.3,4.0,2.2
01-06-90,-0.5,3.6,3.0,4.5,1.9
01-09-90,-0.3,2.2,2.5,5.3,1.4
01-12-90,0.0,1.4,1.9,4.9,0.7
01-03-91,0.2,0.4,1.0,5.6,0.1
01-06-91,0.3,-0.4,0.2,5.1,-0.5
01-09-91,-0.3,-0.5,-0.2,3.7,-0.8
01-12-91,-1.3,-1.3,-0.1,3.4,-1.1
01-03-92,-1.1,-0.6,0.9,2.4,-0.8
01-06-92,-0.5,0.4,1.8,1.7,-0.5
01-09-92,-0.1,1.3,2.8,1.5,-0.1
01-12-92,0.7,3.0,3.6,0.8,0.4
01-03-93,1.1,3.8,3.7,0.5,0.8
01-06-93,1.9,4.0,3.5,0.2,1.3
01-09-93,3.6,4.1,3.2,-0.5,1.8
01-12-93,5.2,4.1,2.7,-0.5,2.5
01-03-94,6.4,3.7,2.8,-0.9,3.0
01-06-94,6.6,4.0,3.2,-0.2,3.5
01-09-94,6.0,4.8,3.7,0.7,3.9
01-12-94,5.6,4.7,4.0,1.0,3.9
01-03-95,5.1,4.5,4.0,1.6,4.0
01-06-95,5.2,3.8,3.6,1.8,3.3
01-09-95,5.2,2.8,3.2,2.0,2.7
01-12-95,4.9,3.1,2.7,2.7,2.5
01-03-96,4.7,3.4,2.5,3.4,2.1
01-06-96,4.3,3.9,2.9,3.4,2.3
01-09-96,4.0,3.9,3.3,3.3,2.5
01-12-96,4.1,4.0,3.8,3.1,2.5
01-03-97,3.6,3.8,4.3,2.8,3.2
01-06-97,3.5,4.0,4.4,2.2,3.6
01-09-97,3.3,4.5,4.5,1.9,3.8
01-12-97,2.4,4.2,4.5,1.1,4.0
01-03-98,2.0,4.9,4.5,0.0,3.9
01-06-98,1.0,4.6,4.4,-0.4,3.4
01-09-98,0.3,4.6,4.3,-1.0,3.3
01-12-98,0.3,5.0,4.5,-1.1,3.1
01-03-99,0.8,4.8,4.5,-0.9,2.6
01-06-99,1.7,5.0,4.6,-0.6,2.8
01-09-99,3.2,4.8,4.8,-0.2,3.0
01-12-99,4.6,4.1,4.7,-0.3,3.2
01-03-00,5.5,3.9,4.5,0.7,4.0
01-06-00,6.0,3.9,4.7,1.4,4.3
01-09-00,5.4,3.7,4.6,1.9,4.0
01-12-00,4.3,3.4,4.1,2.8,3.7
01-03-01,2.9,2.8,3.6,2.5,3.0
01-06-01,2.2,1.9,2.5,2.1,2.4
01-09-01,2.0,1.7,1.6,1.5,2.4
01-12-01,2.5,2.6,1.0,0.4,2.5
01-03-02,3.5,3.0,0.8,-0.6,2.3
01-06-02,4.0,4.0,0.9,-0.9,2.5
01-09-02,4.5,4.5,1.3,-0.6,2.6
01-12-02,4.7,4.1,1.8,0.1,2.5
01-03-03,4.7,3.8,1.8,0.9,3.1
01-06-03,4.4,3.0,2.0,1.3,3.1
01-09-03,4.3,2.5,2.2,1.4,3.1
01-12-03,4.3,2.7,2.8,1.5,3.3
01-03-04,4.5,3.3,3.5,2.0,2.9
01-06-04,5.1,4.0,4.1,2.2,2.8
01-09-04,5.0,4.5,4.1,2.5,2.6
01-12-04,4.7,4.1,3.8,2.2,2.4
01-03-05,3.9,3.7,3.6,1.6,2.4
01-06-05,3.3,3.2,3.4,1.4,2.5
01-09-05,3.2,2.9,3.4,1.3,2.7
01-12-05,3.1,3.0,3.3,1.7,3.1
01-03-06,3.3,2.9,3.2,2.0,3.4
01-06-06,3.0,2.8,3.1,2.0,3.4
01-09-06,2.7,2.9,2.8,1.6,3.1
01-12-06,2.8,2.8,2.7,1.4,2.5
01-03-07,2.7,3.2,2.2,1.4,2.0
01-06-07,3.0,3.8,1.9,1.5,1.9
01-09-07,3.3,4.0,1.9,1.8,2.1
01-12-07,3.3,4.4,1.8,1.7,2.4
01-03-08,3.0,4.1,1.7,1.2,2.4
01-06-08,2.4,3.7,1.5,0.7,2.0
01-09-08,1.3,3.2,0.9,0.1,1.0
01-12-08,0.1,2.5,-0.3,-1.1,-0.5
01-03-09,-1.0,2.2,-1.4,-3.4,-2.5
01-06-09,-1.6,1.9,-2.6,-4.9,-4.0
01-09-09,-1.8,1.7,-3.4,-6.0,-4.6
01-12-09,-1.3,1.9,-2.8,-5.4,-4.2
01-03-10,-0.3,1.8,-1.5,-2.2,-2.6
01-06-10,0.8,2.1,0.2,0.3,-0.6
01-09-10,1.7,2.3,1.8,3.0,0.8
01-12-10,1.7,2.5,2.5,4.2,1.7
01-03-11,1.6,2.6,2.6,3.2,1.9
01-06-11,1.2,2.5,2.3,2.1,1.7
01-09-11,1.2,2.5,1.9,0.6,1.5
01-12-11,1.9,2.7,1.6,-0.1,1.5
01-03-12,2.3,3.3,1.8,0.5,1.3
01-06-12,2.7,3.9,2.0,1.4,1.1
01-09-12,2.7,4.1,2.3,1.4,1.3
01-12-12,2.6,3.9,2.2,1.5,1.5
01-03-13,2.2,3.3,1.9,0.8,1.6
01-06-13,2.2,2.6,1.5,0.6,2.0
01-09-13,2.5,2.3,1.3,1.4,2.0
01-12-13,2.2,2.2,1.7,2.0,2.1
01-03-14,2.6,2.4,1.8,2.6,2.5
01-06-14,2.7,2.6,2.2,2.1,2.8
01-09-14,2.8,2.7,2.6,1.2,3.1
01-12-14,3.6,2.5,2.6,0.4,3.1
01-03-15,3.7,2.4,3.1,-0.3,2.8
01-06-15,3.9,2.4,3.2,0.2,2.4
01-09-15,4.0,2.4,3.0,1.0,2.2
01-12-15,3.5,2.5,2.9,1.4,2.3
01-03-16,3.6,2.6,2.3,1.4,2.4
01-06-16,3.8,2.8,1.7,1.1,2.3
01-09-16,3.9,2.6,1.5,0.8,2.0
01-12-16,4.0,2.6,1.5,1.0,1.9
01-03-17,3.7,2.4,1.6,1.2,1.8
01-06-17,3.3,2.1,1.9,1.4,2.0
01-09-17,3.0,2.3,2.1,1.6,2.2
01-12-17,2.8,2.2,2.3,1.7,1.8
01-03-18,2.7,2.5,2.5,1.6,
