Month,Value of housing $billion,House prices - HPI series A%,"HPI for houses, index"
01-03-08,615.8,2.7,1523
01-06-08,591.6,-4.5,1454.5
01-09-08,581.5,-6.7,1424.1
01-12-08,568.3,-8.9,1395.8
01-03-09,568.2,-9.1,1382.3
01-06-09,578.0,-3.1,1408.2
01-09-09,594.4,1,1439.3
01-12-09,605.9,5.4,1469.5
01-03-10,608.7,6.3,1471.1
01-06-10,603.3,3.2,1456.2
01-09-10,600.9,0.3,1446.5
01-12-10,601.8,-1.7,1444.7
01-03-11,605.2,-1.2,1448.7
01-06-11,602.4,0.7,1462.1
01-09-11,613.3,2.6,1481.8
01-12-11,614.6,2.8,1486.5
01-03-12,620.6,3.2,1500.5
01-06-12,629.7,4,1523.6
01-09-12,642.2,4.8,1553.8
01-12-12,655.5,6.9,1586.9
01-03-13,671.6,7.7,1614.7
01-06-13,688.8,9,1662.2
01-09-13,708.1,10.3,1712.4
01-12-13,718.7,9.2,1732.2
01-03-14,724.7,7.9,1743.2
01-06-14,735.6,7.1,1777.2
01-09-14,745.0,4.8,1794.8
01-12-14,768.0,6.3,1842.3
01-03-15,791.2,9.1,1899.7
01-06-15,821.4,11.3,1975.6
01-09-15,862.3,15.2,2062.1
01-12-15,873.2,11.5,2047.7
01-03-16,905.4,11.7,2118.9
01-06-16,959.9,14.1,2251.4
01-09-16,1001.8,12.6,2322.5
01-12-16,1013.8,13.8,2332.6
01-03-17,1030.9,11,2349
01-06-17,1042.8,5.6,2375
01-09-17,1051.6,3.3,2401.5
01-12-17,1067.4,6.3,2476.8
01-03-18,1079.5,6.6,2504.9
01-06-00,6.0,,
01-09-00,5.4,,
01-12-00,4.3,,
01-03-01,2.9,,
01-06-01,2.2,,
01-09-01,2.0,,
01-12-01,2.5,,
01-03-02,3.5,,
01-06-02,4.0,,
01-09-02,4.5,,
01-12-02,4.7,,
01-03-03,4.7,,
01-06-03,4.4,,
01-09-03,4.3,,
01-12-03,4.3,,
01-03-04,4.5,,
01-06-04,5.1,,
01-09-04,5.0,,
01-12-04,4.7,,
01-03-05,3.9,,
01-06-05,3.3,,
01-09-05,3.2,,
01-12-05,3.1,,
01-03-06,3.3,,
01-06-06,3.0,,
01-09-06,2.7,,
01-12-06,2.8,,
01-03-07,2.7,,
01-06-07,3.0,,
01-09-07,3.3,,
01-12-07,3.3,,
01-03-08,3.0,,
01-06-08,2.4,,
01-09-08,1.3,,
01-12-08,0.1,,
01-03-09,-1.0,,
01-06-09,-1.6,,
01-09-09,-1.8,,
01-12-09,-1.3,,
01-03-10,-0.3,,
01-06-10,0.8,,
01-09-10,1.7,,
01-12-10,1.7,,
01-03-11,1.6,,
01-06-11,1.2,,
01-09-11,1.2,,
01-12-11,1.9,,
01-03-12,2.3,,
01-06-12,2.7,,
01-09-12,2.7,,
01-12-12,2.6,,
01-03-13,2.2,,
01-06-13,2.2,,
01-09-13,2.5,,
01-12-13,2.2,,
01-03-14,2.6,,
01-06-14,2.7,,
01-09-14,2.8,,
01-12-14,3.6,,
01-03-15,3.7,,
01-06-15,3.9,,
01-09-15,4.0,,
01-12-15,3.5,,
01-03-16,3.6,,
01-06-16,3.8,,
01-09-16,3.9,,
01-12-16,4.0,,
01-03-17,3.7,,
01-06-17,3.3,,
01-09-17,3.0,,
01-12-17,2.8,,
01-03-18,2.7,,
