Month,Floating rate,2 year fixed rate
01-06-98,11.2,9.8
01-07-98,10.1,9.0
01-08-98,9.1,8.3
01-09-98,8.2,7.9
01-10-98,7.2,7.2
01-11-98,6.6,7.0
01-12-98,6.5,6.9
01-01-99,6.4,6.9
01-02-99,6.4,6.8
01-03-99,6.4,6.7
01-04-99,6.4,6.6
01-05-99,6.4,6.8
01-06-99,6.4,7.0
01-07-99,6.4,7.1
01-08-99,6.4,7.6
01-09-99,6.5,7.8
01-10-99,6.6,7.9
01-11-99,6.6,8.0
01-12-99,7.0,8.3
01-01-00,7.4,8.4
01-02-00,7.5,8.6
01-03-00,8.0,8.6
01-04-00,8.0,8.5
01-05-00,8.5,8.7
01-06-00,8.7,8.6
01-07-00,8.7,8.3
01-08-00,8.6,8.3
01-09-00,8.4,8.2
01-10-00,8.4,8.1
01-11-00,8.4,8.1
01-12-00,8.4,7.9
01-01-01,8.3,7.4
01-02-01,8.3,7.2
01-03-01,8.1,7.0
01-04-01,7.9,7.2
01-05-01,7.6,7.2
01-06-01,7.6,7.4
01-07-01,7.6,7.6
01-08-01,7.6,7.5
01-09-01,7.2,7.0
01-10-01,7.1,6.8
01-11-01,6.7,6.7
01-12-01,6.7,6.9
01-01-02,6.7,7.0
01-02-02,6.6,7.2
01-03-02,7.0,7.7
01-04-02,7.3,7.9
01-05-02,7.6,7.9
01-06-02,7.6,7.9
01-07-02,7.8,7.6
01-08-02,7.7,7.4
01-09-02,7.7,7.4
01-10-02,7.7,7.2
01-11-02,7.7,7.1
01-12-02,7.7,7.2
01-01-03,7.6,7.2
01-02-03,7.6,7.0
01-03-03,7.6,7.0
01-04-03,7.5,6.9
01-05-03,7.4,6.5
01-06-03,7.2,6.2
01-07-03,7.1,6.2
01-08-03,7.0,6.9
01-09-03,7.0,6.8
01-10-03,7.0,7.1
01-11-03,7.0,7.3
01-12-03,7.1,7.4
01-01-04,7.1,7.4
01-02-04,7.4,7.0
01-03-04,7.4,6.8
01-04-04,7.4,6.9
01-05-04,7.7,7.2
